film_title,release_year,imdb_rating,vote_count,duration_min,genre,is_top_100
American Beauty,1999,8.3,1213.5,130.0,Drama,1
American History X,2000,8.5,1213.5,130.0,Crime|Drama,1
Amit Sahni Ki List,2014,5.5,329.0,110.0,Comedy|Romance,0
Anaarkali of Aarah,2017,6.5,1132.0,113.0,Drama,0
Anamika (2008 film),2008,3.3,238.0,130.0,Drama|Romance|Thriller,0
Andaaz,2003,5.3,2122.0,145.0,Drama|Musical|Romance,0
Andhadhun,2018,8.4,51615.0,139.0,Crime|Thriller,0
Angel (2011 film),2011,6.5,80.0,114.0,Action|Drama,0
Anjaana Anjaani,2010,5.8,5697.0,151.0,Comedy|Drama|Musical,0
Anjaane (2005 film),2005,4.0,61.0,110.0,Horror,0
Ankahee (2006 film),2006,4.1,338.0,151.0,Biography|Drama|Romance,0
Ankhon Dekhi,2013,8.0,8672.0,107.0,Comedy|Drama,0
Ankur Arora Murder Case,2013,6.5,1406.0,129.0,Drama|Thriller,0
Anna (2016 film),2016,4.9,38.0,142.0,Biography,0
Annarth,2002,3.1,125.0,130.0,Action|Crime|Drama,0
Ansh: The Deadly Part,2002,6.3,40.0,180.0,Crime|Drama,0
Antardwand,2008,7.4,472.0,114.0,Drama,0
Anthony Kaun Hai?,2006,5.4,564.0,127.0,Mystery|Thriller,0
Anuradha (2014 film),2014,0.0,0.0,130.0,Drama,0
Anwar (2007 film),2007,6.7,784.0,144.0,Drama|Romance|Thriller,0
Apaharan,2005,7.4,3846.0,173.0,Action|Crime|Drama,0
Apartment (film),2010,3.4,206.0,97.0,Drama|Mystery|Thriller,0
Apna Asmaan,2007,6.2,144.0,110.0,Drama|Sci-Fi,0
Apna Sapna Money Money,2006,5.2,1697.0,134.0,Comedy|Musical|Romance,0
Apne,2007,6.0,2514.0,173.0,Drama|Sport,0
Apocalypse Now,1979,8.4,1213.5,130.0,Drama|Mystery|War,1
Arjun Patiala,2019,4.1,676.0,107.0,Action|Comedy,0
Arjun: The Warrior Prince,2012,6.8,1286.0,96.0,Action|Adventure|Animation,0
Armaan (2003 film),2003,5.2,1025.0,158.0,Drama|Family|Romance,0
Article 15 (film),2019,8.3,13417.0,130.0,Crime|Drama,0
Aryan: Unbreakable,2006,4.5,283.0,135.0,Action|Drama|Sport,0
Asambhav,2004,3.4,534.0,139.0,Action|Adventure|Drama,0
Ata Pata Laapata,2012,5.6,78.0,120.0,Comedy|Musical,0
Aur Pappu Paas Ho Gaya,2007,3.2,24.0,142.0,Comedy,0
Aurangzeb (film),2013,6.5,3674.0,137.0,Action|Drama|Thriller,0
Aval (2017 film),2017,6.8,1655.0,137.0,Horror,0
Avengers: Endgame,2019,8.4,1213.5,130.0,Action|Adventure|Drama,1
Avengers: Infinity War,2018,8.4,1213.5,130.0,Action|Adventure|Sci-Fi,1
Awara Paagal Deewana,2002,6.2,7059.0,158.0,Action|Comedy|Crime,0
Awarapan,2007,7.2,5862.0,126.0,Action|Drama|Romance,0
Azhar (film),2016,5.8,4887.0,130.0,Biography|Drama|Sport,0
